"","sex","age","agegr","placesize","region","edu","eduspec","socprof","unempdur","income","marital","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","bmi"
"1","FEMALE",57,"45-59","URBAN 100,000-200,000","Lubuskie","VOCATIONAL/GRAMMAR","services for the population and transport services","RETIRED",0,800,"MARRIED","PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,89,30.7958477508651
"2","MALE",20,"16-24","RURAL AREAS","Podlaskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,350,"SINGLE","MOSTLY SATISFIED",0,"IT`S DIFFICULT TO TELL","YES","NO OPINION","NO",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",187,82,23.4493408447482
"3","FEMALE",18,"16-24","URBAN 500,000 AND OVER","Mazowieckie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO","NO",20,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",165,50,18.3654729109275
"4","FEMALE",78,"65+","RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,900,"WIDOWED","MIXED",16,"ONE CAN`T BE TOO CAREFUL","NO","YES","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,78,30.46875
"5","FEMALE",54,"45-59","URBAN 100,000-200,000","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","SELF-EMPLOYED",0,1500,"MARRIED","MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",158,50,20.0288415318058
"6","MALE",20,"16-24","URBAN 100,000-200,000","Slaskie","SECONDARY","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",165,65,23.8751147842057
"7","FEMALE",39,"35-44","RURAL AREAS","Wielkopolskie","SECONDARY","art","EMPLOYED IN PUBLIC SECTOR",0,2000,"MARRIED","MOSTLY SATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",168,68,24.092970521542
"8","MALE",39,"35-44","URBAN 100,000-200,000","Lubuskie","SECONDARY","technical science","EMPLOYED IN PRIVATE SECTOR",7,1197,"MARRIED","MIXED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",171,86,29.4107588659759
"9","FEMALE",43,"35-44","RURAL AREAS","Swietokrzyskie","SECONDARY","social sciences","EMPLOYED IN PUBLIC SECTOR",16,580,"MARRIED","MOSTLY SATISFIED",0,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",1,"YES",30,"NO","NO","NO","0","NO",NA,NA,"NONE",167,54,19.3624726594715
"10","FEMALE",63,"60-64","URBAN BELOW 20,000","Dolnoslaskie","SECONDARY","no specialisation","RETIRED",24,1400,"MARRIED","PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",25,"YES",15,"NO","NO","NO","0","NO",NA,NA,"NONE",155,65,27.0551508844953
"11","FEMALE",38,"35-44","URBAN 100,000-200,000","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",0,1500,"MARRIED","MOSTLY DISSATISFIED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",4,"YES",4,"NO","NO","YES","4","NO",NA,NA,"NONE",180,77,23.7654320987654
"12","FEMALE",73,"65+","URBAN 200,000-500,000","Slaskie","VOCATIONAL/GRAMMAR","services for the population and transport services","LONG-TERM SICK/DISABLED",24,1700,"WIDOWED","PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",20,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",168,78,27.6360544217687
"13","FEMALE",54,"45-59","URBAN 200,000-500,000","Slaskie","SECONDARY","social sciences","EMPLOYED IN PRIVATE SECTOR",0,2000,"WIDOWED","MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES",15,"NO","NO","NO","0","NO",NA,NA,"NONE",170,75,25.9515570934256
"14","MALE",30,"25-34","URBAN 200,000-500,000","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","social sciences","EMPLOYED IN PRIVATE SECTOR",0,900,"SINGLE","MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",14,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",170,74,25.6055363321799
"15","MALE",68,"65+","RURAL AREAS","Pomorskie","SECONDARY","no specialisation","RETIRED",0,0,"MARRIED","DELIGHTED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",8,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",165,65,23.8751147842057
"16","MALE",61,"60-64","RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","no specialisation","FARMER",0,0,"MARRIED","MIXED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",161,100,38.5787585355503
"17","MALE",84,"65+","RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",24,2000,"SINGLE","PLEASED",11,"MOST PEOPLE CAN BE TRUSTED","NO OPINION","NO OPINION","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,56,19.3771626297578
"18","FEMALE",87,"65+","URBAN 500,000 AND OVER","Lodzkie","SECONDARY","social sciences","RETIRED",24,1400,"DIVORCED","MIXED",11,"IT`S DIFFICULT TO TELL","NO","NO","YES",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",155,75,31.2174817898023
"19","MALE",47,"45-59","URBAN 100,000-200,000","Slaskie","PRIMARY/NO EDUCATION","no specialisation","UNEMPLOYED",8,560,"MARRIED","PLEASED",1,"IT`S DIFFICULT TO TELL","YES","NO","YES",4,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",164,70,26.0261748958953
"20","MALE",45,"45-59","RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","technical science","UNEMPLOYED",8,530,"MARRIED","PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",1,"YES",25,"NO","NO","NO","0","YES, TO EU COUNTRY","IT DEPENDS","GERMANY","NONE",181,78,23.8087970452672
"21","FEMALE",60,"60-64","RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","LONG-TERM SICK/DISABLED",0,700,"MARRIED","MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",164,100,37.180249851279
"22","MALE",27,"25-34","RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","no specialisation","EMPLOYED IN PRIVATE SECTOR",3,1000,"SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",3,"YES",15,"NO","NO","NO","0","NO",NA,NA,"NONE",175,97,31.6734693877551
"23","FEMALE",49,"45-59","URBAN 20,000-100,000","Lubelskie","POST-SECONDARY OR HIGHER","social sciences","SELF-EMPLOYED",0,0,"MARRIED","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",18,"YES",5,"NO","NO","NO","0","NO",NA,NA,"NONE",160,60,23.4375
"24","FEMALE",58,"45-59","URBAN 200,000-500,000","Slaskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PUBLIC SECTOR",0,3500,"MARRIED","MOSTLY SATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",3,"YES",5,"NO","NO","NO","0","NO",NA,NA,"NONE",162,59,22.4813290656912
"25","MALE",30,"25-34","RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","services for the population and transport services","SELF-EMPLOYED",0,1600,"SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",174,75,24.7720967102656
"26","MALE",59,"45-59","URBAN 100,000-200,000","Malopolskie","SECONDARY","services for the population and transport services","RETIRED",0,1300,"MARRIED","PLEASED",9,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",3,"YES",25,"YES","YES","NO","0","NO",NA,NA,"NONE",176,68,21.952479338843
"27","FEMALE",26,"25-34","URBAN 500,000 AND OVER","Dolnoslaskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PRIVATE SECTOR",0,1500,"SINGLE","MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"NO",0,"NO","NO","YES","24","NO",NA,NA,"ACTIVE",160,58,22.65625
"28","FEMALE",35,"35-44","URBAN BELOW 20,000","Mazowieckie","SECONDARY","social sciences","LONG-TERM SICK/DISABLED",0,1300,"SINGLE","MIXED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",158,52,20.829995193078
"29","MALE",17,"16-24","URBAN BELOW 20,000","Zachodnio-pomorskie","PRIMARY/NO EDUCATION","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","MIXED",2,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",178,50,15.7808357530615
"30","FEMALE",40,"35-44","URBAN 20,000-100,000","Lubelskie","POST-SECONDARY OR HIGHER","law","EMPLOYED IN PRIVATE SECTOR",0,2000,"DIVORCED","MOSTLY SATISFIED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",8,"YES",20,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",159,57,22.5465764803607
"31","FEMALE",75,"65+","RURAL AREAS","Wielkopolskie","SECONDARY","no specialisation","RETIRED",0,1157,"MARRIED","PLEASED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",15,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",162,99,37.7229080932785
"32","MALE",21,"16-24","RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","no specialisation","UNEMPLOYED",24,0,"SINGLE","PLEASED",1,"MOST PEOPLE CAN BE TRUSTED","NO OPINION","NO OPINION","YES",8,"YES",10,"NO","NO","NO","0","NO",NA,NA,"NONE",186,75,21.6788067984738
"33","FEMALE",43,"35-44","RURAL AREAS","Dolnoslaskie","PRIMARY/NO EDUCATION","no specialisation","FARMER",0,1000,"MARRIED","MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",168,67,23.7386621315193
"34","MALE",34,"25-34","RURAL AREAS","Dolnoslaskie","POST-SECONDARY OR HIGHER","mathematics and statistics","EMPLOYED IN PUBLIC SECTOR",0,4000,"MARRIED","PLEASED",2,"MOST PEOPLE CAN BE TRUSTED","NO","YES","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",184,110,32.4905482041588
"35","FEMALE",35,"35-44","RURAL AREAS","Kujawsko-pomorskie","SECONDARY","social sciences","OTHER ECONOMICALLY INACTIVE",0,800,"MARRIED","PLEASED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",20,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",166,53,19.2335607490202
"36","MALE",47,"45-59","URBAN 100,000-200,000","Malopolskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",0,1200,"MARRIED","MIXED",6,"IT`S DIFFICULT TO TELL","YES","YES","YES",5,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",164,64,23.7953599048186
"37","MALE",20,"16-24","URBAN 100,000-200,000","Warminsko-mazurskie","SECONDARY","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",182,86,25.9630479410699
"38","MALE",71,"65+","RURAL AREAS","Podlaskie","SECONDARY","technical science","RETIRED",0,1000,"MARRIED","PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",20,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,106,36.6782006920415
"39","FEMALE",41,"35-44","RURAL AREAS","Lodzkie","SECONDARY","social sciences","OTHER ECONOMICALLY INACTIVE",18,0,"MARRIED","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,66,25.78125
"40","MALE",60,"60-64","RURAL AREAS","Slaskie","SECONDARY","technical science","LONG-TERM SICK/DISABLED",24,900,"SINGLE","MOSTLY DISSATISFIED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",178,75,23.6712536295922
"41","MALE",74,"65+","URBAN 100,000-200,000","Mazowieckie","SECONDARY","technical science","RETIRED",0,1500,"MARRIED","MOSTLY SATISFIED",2,"ONE CAN`T BE TOO CAREFUL","NO OPINION","YES","NO",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",173,76,25.3934311203181
"42","FEMALE",52,"45-59","URBAN 20,000-100,000","Swietokrzyskie","SECONDARY","technical science","EMPLOYED IN PRIVATE SECTOR",0,2000,"MARRIED","PLEASED",7,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",162,75,28.5779606767261
"43","MALE",25,"25-34","URBAN BELOW 20,000","Zachodnio-pomorskie","POST-SECONDARY OR HIGHER","economy and administration","UNEMPLOYED",0,0,"SINGLE","MOSTLY DISSATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",0,"NO",0,"NO","NO","NO","0","YES, TO EU COUNTRY","IT DEPENDS",NA,"ACTIVE",186,80,23.1240605850387
"44","MALE",77,"65+","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",24,940,"MARRIED","MIXED",16,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",180,75,23.1481481481481
"45","FEMALE",20,"16-24","URBAN 20,000-100,000","Pomorskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"YES",10,"YES","NO","NO","0","YES, TO EU COUNTRY","IT DEPENDS","GREAT BRITAIN","ACTIVE",157,60,24.3417582863402
"46","MALE",40,"35-44","URBAN BELOW 20,000","Malopolskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PUBLIC SECTOR",0,1890,"MARRIED","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",2,"YES",10,"NO","NO","NO","0","NO",NA,NA,"NONE",178,82,25.8805706350208
"47","FEMALE",31,"25-34","RURAL AREAS","Lubelskie","POST-SECONDARY OR HIGHER","economy and administration","EMPLOYED IN PRIVATE SECTOR",0,1050,"DIVORCED","MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"YES",20,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",155,63,26.2226847034339
"48","MALE",64,"60-64","RURAL AREAS","Dolnoslaskie","POST-SECONDARY OR HIGHER","technical science","RETIRED",24,1600,"MARRIED","DELIGHTED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",165,70,25.7116620752984
