name,type1,trS-teO,type2,trS-teS
sdsPolishCatMC,trS-teO,"[46.7, 45.98, 46.06, 46.52, 46.04, 46.88, 46.379999999999995, 46.800000000000004, 47.22, 46.379999999999995]",trS-teS,"[47.8, 46.9, 49.2, 46.2, 46.5, 47.699999999999996, 43.6, 48.4, 50.7, 49.3]"
sdsPolishCatMCT,trS-teO,"[46.400000000000006, 46.660000000000004, 45.94, 46.300000000000004, 46.22, 46.18, 46.06, 46.239999999999995, 47.0, 46.400000000000006]",trS-teS,"[44.2, 48.199999999999996, 48.1, 43.4, 48.3, 46.5, 48.9, 45.0, 46.2, 46.5]"
sdsPolishCatMP,trS-teO,"[46.739999999999995, 46.08, 45.5, 46.1, 46.52, 46.36, 46.08, 46.739999999999995, 46.12, 45.98]",trS-teS,"[43.9, 44.1, 46.0, 41.0, 45.1, 43.4, 44.7, 46.0, 45.4, 44.6]"
sdsPolishCatMPT,trS-teO,"[39.42, 41.74, 41.3, 44.92, 42.88, 40.86, 42.92, 40.46, 43.18, 40.9]",trS-teS,"[44.3, 39.6, 41.5, 43.7, 42.0, 41.699999999999996, 43.2, 40.6, 43.0, 42.199999999999996]"
sdsPolishDecM,trS-teO,"[46.52, 46.5, 47.08, 46.78, 47.36, 46.14, 47.099999999999994, 46.7, 46.82, 46.72]",trS-teS,"[47.9, 46.0, 47.4, 47.599999999999994, 44.9, 46.800000000000004, 43.7, 47.3, 47.3, 46.6]"
sdsPolishDecMO,trS-teO,"[45.56, 46.12, 46.660000000000004, 46.2, 45.96, 46.26, 46.36, 46.68, 46.56, 46.400000000000006]",trS-teS,"[46.300000000000004, 45.4, 46.400000000000006, 45.1, 45.4, 41.699999999999996, 42.9, 41.6, 45.2, 43.2]"
sdsPolishDecMOT,trS-teO,"[46.44, 46.06, 46.52, 46.2, 46.0, 45.739999999999995, 46.0, 46.0, 45.879999999999995, 45.58]",trS-teS,"[44.1, 43.3, 45.6, 43.1, 46.9, 45.9, 46.0, 44.6, 48.1, 44.6]"
sdsPolishDecMT,trS-teO,"[46.14, 46.760000000000005, 46.239999999999995, 46.28, 46.72, 45.7, 46.12, 46.839999999999996, 47.099999999999994, 46.12]",trS-teS,"[49.0, 47.8, 45.4, 50.2, 47.9, 48.6, 51.300000000000004, 47.5, 47.099999999999994, 44.6]"
sdsPolishDecMV,trS-teO,"[46.760000000000005, 46.92, 46.300000000000004, 46.98, 46.52, 47.06, 46.28, 46.300000000000004, 46.839999999999996, 46.26]",trS-teS,"[47.699999999999996, 45.4, 45.6, 46.9, 45.6, 46.5, 46.400000000000006, 45.9, 46.300000000000004, 45.4]"
sdsPolishDecMVT,trS-teO,"[46.12, 46.46, 47.24, 46.56, 46.239999999999995, 46.58, 46.32, 45.78, 46.58, 46.32]",trS-teS,"[47.099999999999994, 46.0, 47.9, 47.0, 44.3, 43.4, 46.800000000000004, 47.599999999999994, 48.0, 45.1]"
sdsPolishParM,trS-teO,"[42.58, 43.64, 43.04, 42.64, 42.28, 44.26, 42.059999999999995, 44.36, 42.26, 44.46]",trS-teS,"[43.3, 42.5, 40.8, 40.400000000000006, 38.800000000000004, 42.699999999999996, 43.6, 42.3, 42.5, 44.9]"
sdsPolishParMO,trS-teO,"[42.08, 41.36, 40.12, 41.88, 42.14, 41.74, 41.72, 40.78, 42.72, 42.76]",trS-teS,"[39.0, 39.0, 38.3, 39.4, 39.6, 37.3, 41.3, 38.6, 39.4, 40.5]"
sdsPolishParMOT,trS-teO,"[41.22, 41.839999999999996, 41.28, 42.199999999999996, 39.5, 39.900000000000006, 41.82, 40.44, 41.9, 39.96]",trS-teS,"[39.900000000000006, 42.6, 42.6, 38.5, 41.4, 40.400000000000006, 43.7, 38.0, 39.800000000000004, 41.9]"
sdsPolishParMT,trS-teO,"[41.099999999999994, 42.14, 42.74, 42.88, 43.4, 42.16, 43.519999999999996, 43.08, 43.14, 43.5]",trS-teS,"[40.6, 42.4, 42.6, 44.1, 43.1, 44.7, 42.0, 42.699999999999996, 43.3, 41.699999999999996]"
sdsPolishParMV,trS-teO,"[42.480000000000004, 42.199999999999996, 43.26, 42.66, 42.44, 42.46, 43.980000000000004, 42.84, 43.2, 42.52]",trS-teS,"[42.199999999999996, 42.1, 44.800000000000004, 42.5, 41.3, 43.2, 41.5, 40.400000000000006, 41.0, 43.7]"
sdsPolishParMVT,trS-teO,"[43.28, 42.6, 42.84, 44.440000000000005, 42.84, 44.6, 43.0, 42.94, 43.04, 43.08]",trS-teS,"[40.9, 43.8, 45.1, 41.6, 42.3, 41.8, 41.3, 44.2, 41.9, 41.8]"
sdsPolishSamp,trS-teO,"[34.9, 34.94, 35.0, 34.94, 35.02, 34.92, 34.92, 34.98, 34.98, 34.98]",trS-teS,"[37.5, 37.4, 36.4, 35.4, 35.3, 35.699999999999996, 36.3, 32.2, 35.6, 32.9]"
