Dataset,Method,No income,below 1K,1K to 2K,2K to 3K,3K to 4K,above 4K
Polish,Original,1286,1229,1749,472,133,131
,sdsPolishCatMC,1297,1222,1740,469,130,141
,sdsPolishCatMCT,1282,1236,1732,479,135,136
,sdsPolishCatMP,1293,1237,1731,473,134,132
,sdsPolishCatMPT,1288,1240,1739,472,129,131
,sdsPolishDecM,1288,1229,1750,477,129,128
,sdsPolishDecMO,1282,1220,1751,479,135,132
,sdsPolishDecMOT,1262,1242,1761,458,137,140
,sdsPolishDecMT,1304,1217,1759,460,126,134
,sdsPolishDecMV,1302,1235,1730,470,136,128
,sdsPolishDecMVT,1258,1247,1729,498,134,135
,sdsPolishParM,1163,1307,1856,458,115,102
,sdsPolishParMO,1151,1317,1849,466,122,95
,sdsPolishParMOT,1156,1279,1875,467,120,104
,sdsPolishParMT,1153,1297,1853,475,120,101
,sdsPolishParMV,1150,1295,1876,460,119,100
,sdsPolishParMVT,1166,1310,1854,451,116,103
,sdsPolishSamp,1283,1238,1758,464,130,128
