name,type1,trS-teO,type2,trS-teS
sdsAdultCatMC,trS-teO,"[79.89, 79.65, 79.22, 79.67, 79.55, 79.81, 79.86999999999999, 79.75, 80.04, 79.84]",trS-teS,"[79.45, 79.0, 80.85, 78.25, 78.64999999999999, 80.35, 79.14999999999999, 79.3, 80.30000000000001, 80.85]"
sdsAdultCatMCT,trS-teO,"[80.17, 79.77, 79.60000000000001, 79.32000000000001, 80.03, 79.29, 79.9, 79.67, 79.5, 79.39]",trS-teS,"[81.45, 81.25, 79.65, 79.3, 81.0, 79.35, 80.60000000000001, 78.14999999999999, 79.55, 78.64999999999999]"
sdsAdultCatMP,trS-teO,"[79.47999999999999, 79.74, 79.54, 79.23, 79.43, 78.75, 79.13, 79.73, 79.39, 79.55]",trS-teS,"[78.2, 78.8, 79.95, 80.25, 81.15, 79.3, 78.4, 79.10000000000001, 79.80000000000001, 79.05]"
sdsAdultCatMPT,trS-teO,"[79.57, 79.03999999999999, 78.9, 79.31, 78.78, 79.36999999999999, 79.59, 78.88, 78.56, 79.91]",trS-teS,"[79.2, 80.4, 78.4, 80.5, 81.05, 78.64999999999999, 79.65, 78.14999999999999, 78.85, 79.05]"
sdsAdultDecM,trS-teO,"[79.64, 79.53, 79.2, 78.89, 79.2, 79.59, 79.08, 78.96, 79.97, 78.94]",trS-teS,"[80.10000000000001, 77.8, 77.9, 79.35, 79.85, 78.35, 79.2, 77.35, 80.65, 77.4]"
sdsAdultDecMH,trS-teO,"[80.03, 80.04, 80.35, 79.9, 79.49000000000001, 79.97999999999999, 79.75999999999999, 79.44, 79.61, 80.14]",trS-teS,"[79.14999999999999, 79.65, 80.2, 78.64999999999999, 78.9, 79.25, 80.05, 80.2, 79.25, 80.55]"
sdsAdultDecMHT,trS-teO,"[79.84, 78.63, 78.95, 80.06, 79.25999999999999, 79.85, 79.71000000000001, 78.77, 78.99000000000001, 79.17999999999999]",trS-teS,"[79.95, 78.55, 80.35, 81.35, 80.85, 79.75, 80.2, 78.55, 78.55, 78.95]"
sdsAdultDecML,trS-teO,"[80.21000000000001, 80.31, 79.17999999999999, 79.36, 79.64, 79.67999999999999, 78.84, 79.94, 79.25999999999999, 79.34]",trS-teS,"[82.1, 80.10000000000001, 79.3, 79.5, 78.75, 79.60000000000001, 79.2, 80.10000000000001, 78.9, 78.8]"
sdsAdultDecMLT,trS-teO,"[80.08999999999999, 79.45, 79.82000000000001, 79.58, 79.95, 79.22, 79.65, 79.49000000000001, 78.88, 79.80000000000001]",trS-teS,"[81.10000000000001, 77.5, 79.14999999999999, 80.25, 79.45, 79.2, 78.3, 76.9, 77.5, 79.65]"
sdsAdultDecMT,trS-teO,"[80.10000000000001, 79.60000000000001, 79.64, 79.56, 80.24, 78.84, 79.02, 80.30000000000001, 79.17999999999999, 79.25]",trS-teS,"[79.14999999999999, 80.25, 81.65, 78.8, 80.5, 80.05, 77.0, 80.95, 79.05, 79.35]"
sdsAdultParM,trS-teO,"[79.21000000000001, 78.67, 78.49000000000001, 79.25999999999999, 78.75999999999999, 78.84, 79.32000000000001, 78.21000000000001, 78.91, 78.74]",trS-teS,"[77.0, 77.10000000000001, 77.55, 77.64999999999999, 79.10000000000001, 75.94999999999999, 77.95, 76.85, 77.95, 77.0]"
sdsAdultParMH,trS-teO,"[78.03999999999999, 78.44, 78.13, 78.81, 77.53999999999999, 78.09, 78.14999999999999, 77.60000000000001, 78.53999999999999, 78.12]",trS-teS,"[78.10000000000001, 79.85, 77.95, 79.65, 77.25, 78.14999999999999, 79.4, 78.55, 78.0, 79.4]"
sdsAdultParMHT,trS-teO,"[78.71000000000001, 78.56, 77.86, 77.92999999999999, 78.86999999999999, 78.64, 78.11, 77.81, 78.21000000000001, 78.47]",trS-teS,"[79.3, 78.95, 79.55, 77.14999999999999, 80.0, 78.0, 78.55, 77.85, 78.9, 78.7]"
sdsAdultParML,trS-teO,"[78.45, 78.25, 78.46, 78.35, 78.19, 77.68, 78.31, 78.51, 78.67, 79.07]",trS-teS,"[77.45, 78.05, 78.64999999999999, 78.75, 78.10000000000001, 77.3, 77.95, 78.10000000000001, 77.95, 77.7]"
sdsAdultParMLT,trS-teO,"[77.41, 77.53, 78.25999999999999, 78.55, 78.9, 78.25, 78.51, 78.27, 77.78, 77.95]",trS-teS,"[78.64999999999999, 77.60000000000001, 78.10000000000001, 78.45, 79.14999999999999, 76.05, 78.60000000000001, 79.3, 79.2, 75.3]"
sdsAdultParMT,trS-teO,"[79.42, 78.33, 78.97999999999999, 78.64999999999999, 78.77, 79.16, 78.08, 79.41, 78.22, 79.39]",trS-teS,"[78.10000000000001, 77.7, 76.5, 77.8, 78.0, 76.25, 78.10000000000001, 79.5, 75.55, 79.7]"
sdsAdultSamp,trS-teO,"[37.4, 41.260000000000005, 56.989999999999995, 41.29, 65.66, 53.54, 69.66, 39.36, 45.32, 54.16]",trS-teS,"[48.85, 50.55, 57.85, 49.0, 63.4, 47.449999999999996, 65.5, 47.85, 51.4, 61.25000000000001]"
