Dataset,Method,Class A,Class F,Class H,Class E,Class I,Class Y,Class D,Class X,Class G,Class W,Class C,Class B
Avila,Original,4286,1961,519,1095,831,266,352,522,446,44,103,5
,sdsAvilaCatMC,4301,1956,525,1091,822,272,348,514,453,42,102,6
,sdsAvilaCatMCT,4251,1960,525,1102,861,256,359,521,453,40,101,3
,sdsAvilaCatMP,4277,1974,520,1099,821,267,351,527,445,46,101,5
,sdsAvilaCatMPT,4283,1965,518,1104,834,260,343,520,451,45,104,5
,sdsAvilaDecM,4257,1966,532,1105,840,255,330,525,458,49,110,4
,sdsAvilaDecMO,4251,1978,529,1096,842,268,348,530,440,42,100,6
,sdsAvilaDecMOT,4251,1944,524,1095,827,277,373,547,440,39,109,4
,sdsAvilaDecMT,4265,1957,512,1169,795,266,351,505,460,38,110,3
,sdsAvilaDecMV,4254,2015,525,1077,808,276,358,531,434,40,106,6
,sdsAvilaDecMVT,4242,1999,517,1112,818,273,347,517,450,39,111,4
,sdsAvilaParM,4028,1901,595,1078,770,339,345,584,454,229,102,3
,sdsAvilaParMO,4257,1967,515,1108,839,268,355,527,446,43,101,6
,sdsAvilaParMOT,4276,1956,512,1113,834,267,350,522,444,44,107,5
,sdsAvilaParMT,3973,1900,629,1072,778,361,332,585,476,229,94,2
,sdsAvilaParMV,4261,2000,545,1009,687,488,336,479,473,54,97,3
,sdsAvilaParMVT,4289,1967,543,1030,682,470,340,477,469,51,106,6
,sdsAvilaSamp,4319,1953,519,1091,813,268,352,523,442,42,104,5
