name,type1,trS-teO,type2,trS-teS
sdsAvilaCatMC,trS-teO,"[94.15148609779482, 94.54458293384468, 94.8130393096836, 94.46788111217641, 94.00767018216682, 94.26653883029722, 95.30201342281879, 93.48993288590603, 94.26653883029722, 93.80632790028763]",trS-teS,"[92.28187919463086, 91.17929050814956, 92.18600191754554, 92.76126558005753, 91.80249280920421, 92.18600191754554, 92.47363374880153, 92.66538830297219, 91.85043144774689, 91.1313518696069]"
sdsAvilaCatMCT,trS-teO,"[93.52828379674017, 93.3077660594439, 93.74880153403643, 93.11601150527325, 93.97890699904123, 92.11888782358582, 93.10642377756471, 92.5790987535954, 93.28859060402685, 92.55992329817833]",trS-teS,"[92.90508149568552, 93.09683604985618, 94.29530201342283, 92.09012464046022, 93.81591562799616, 93.09683604985618, 92.9530201342282, 91.89837008628955, 92.09012464046022, 93.81591562799616]"
sdsAvilaCatMP,trS-teO,"[95.45541706615532, 95.61840843720039, 96.41418983700862, 95.68552253116012, 96.22243528283796, 95.64717162032599, 95.62799616490891, 95.1294343240652, 95.70469798657719, 96.89357622243529]",trS-teS,"[92.28187919463086, 93.52828379674017, 95.06232023010547, 93.81591562799616, 94.39117929050815, 92.28187919463086, 93.14477468839884, 92.9530201342282, 92.09012464046022, 93.6241610738255]"
sdsAvilaCatMPT,trS-teO,"[44.39117929050815, 45.98274209012464, 48.648130393096835, 55.31160115052732, 53.33652924256951, 55.61840843720039, 54.41994247363375, 59.19463087248322, 53.19271332694151, 53.53787152444871]",trS-teS,"[97.26749760306808, 97.55512943432406, 93.86385426653882, 95.63758389261746, 96.64429530201343, 93.48034515819751, 91.56279961649089, 96.06903163950143, 94.19942473633749, 98.3221476510067]"
sdsAvilaDecM,trS-teO,"[92.89549376797699, 92.47363374880153, 92.4928092042186, 91.42857142857143, 92.21476510067113, 92.4928092042186, 92.18600191754554, 92.32981783317354, 93.03930968360498, 91.52444870565675]",trS-teS,"[86.91275167785236, 87.72770853307766, 86.81687440076702, 88.59060402684564, 87.24832214765101, 87.392138063279, 88.06327900287631, 87.823585810163, 86.28954937679771, 87.20038350910833]"
sdsAvilaDecMO,trS-teO,"[84.8993288590604, 85.65675934803451, 84.10354745925216, 85.19654841802493, 85.94439117929052, 85.13902205177372, 83.9117929050815, 84.56375838926175, 85.58964525407478, 84.28571428571429]",trS-teS,"[83.12559923298178, 82.5503355704698, 81.63950143815916, 82.50239693192714, 83.60498561840843, 83.55704697986577, 83.02972195589645, 82.64621284755513, 85.23489932885906, 80.96836049856184]"
sdsAvilaDecMOT,trS-teO,"[84.13231064237776, 83.6241610738255, 82.94343240651966, 82.13806327900286, 83.11601150527325, 84.32406519654842, 83.26941514860978, 83.23106423777564, 83.8542665388303, 81.89837008628955]",trS-teS,"[84.56375838926175, 81.25599232981783, 82.83796740172579, 83.17353787152445, 83.12559923298178, 83.17353787152445, 84.70757430488975, 85.61840843720039, 83.02972195589645, 81.25599232981783]"
sdsAvilaDecMT,trS-teO,"[90.15340364333653, 85.79098753595397, 90.18216682646212, 88.59060402684564, 91.1025886864813, 87.22914669223394, 89.76030680728667, 89.86577181208054, 89.42473633748801, 86.96069031639502]",trS-teS,"[88.83029721955896, 82.4065196548418, 89.64525407478428, 87.00862895493768, 90.26845637583892, 86.04985618408438, 87.96740172579098, 87.72770853307766, 87.72770853307766, 87.58389261744966]"
sdsAvilaDecMV,trS-teO,"[93.12559923298178, 93.70086289549377, 94.26653883029722, 93.97890699904123, 93.7104506232023, 94.54458293384468, 94.67881112176414, 94.23777564717162, 93.23106423777566, 93.79674017257909]",trS-teS,"[92.66538830297219, 91.1313518696069, 92.71332694151486, 91.75455417066155, 91.51486097794823, 91.89837008628955, 93.09683604985618, 91.65867689357621, 90.17257909875359, 91.75455417066155]"
sdsAvilaDecMVT,trS-teO,"[93.20230105465005, 89.9712368168744, 90.2301054650048, 92.54074784276126, 93.16395014381591, 92.99137104506232, 91.63950143815916, 92.81879194630872, 92.6941514860978, 91.47651006711409]",trS-teS,"[93.81591562799616, 90.84372003835091, 92.85714285714286, 92.47363374880153, 92.32981783317354, 93.19271332694152, 92.18600191754554, 93.86385426653882, 93.9117929050815, 93.24065196548418]"
sdsAvilaParM,trS-teO,"[51.86960690316395, 52.214765100671144, 52.63662511984659, 52.68456375838926, 52.13806327900288, 52.2914669223394, 53.70086289549377, 52.44487056567594, 51.63950143815915, 53.691275167785236]",trS-teS,"[45.733461169702785, 47.69894534995206, 48.322147651006716, 43.096836049856186, 46.78811121764142, 48.94534995206136, 46.93192713326941, 47.89069990412273, 48.84947267497603, 46.692233940556086]"
sdsAvilaParMO,trS-teO,"[59.913710450623206, 60.99712368168744, 61.514860977948224, 62.00383509108342, 61.14093959731544, 60.41227229146692, 59.22339405560882, 60.36433365292426, 60.306807286673056, 60.40268456375839]",trS-teS,"[56.90316395014382, 56.423777564717156, 55.56088207094918, 56.807286673058485, 55.22531160115053, 55.17737296260786, 55.417066155321194, 54.60210930009588, 56.99904122722914, 54.9856184084372]"
sdsAvilaParMOT,trS-teO,"[60.91083413231064, 60.95877277085331, 60.94918504314477, 60.939597315436245, 61.14093959731544, 60.69990412272291, 60.258868648130395, 60.009587727708535, 59.664429530201346, 60.47938638542666]",trS-teS,"[55.129434324065194, 55.51294343240652, 56.04026845637584, 58.77277085330776, 56.56759348034516, 56.471716203259824, 56.13614573346118, 57.04697986577181, 55.944391179290506, 56.759348034515824]"
sdsAvilaParMT,trS-teO,"[53.18312559923298, 51.84084372003836, 52.96260786193672, 50.88207094918504, 51.2176414189837, 51.78331735378715, 51.14093959731544, 52.63662511984659, 52.10930009587727, 52.147651006711406]",trS-teS,"[46.78811121764142, 46.54841802492809, 48.465963566634706, 47.651006711409394, 47.07574304889741, 46.308724832214764, 45.25407478427613, 47.79482262703739, 46.83604985618409, 45.63758389261745]"
sdsAvilaParMV,trS-teO,"[54.34324065196549, 53.98849472674976, 54.285714285714285, 53.18312559923298, 54.218600191754554, 54.103547459252155, 54.27612655800576, 54.0268456375839, 53.48993288590604, 53.49952061361457]",trS-teS,"[51.67785234899329, 52.73250239693192, 51.67785234899329, 51.10258868648131, 52.44487056567594, 53.02013422818792, 51.3902205177373, 51.72579098753596, 51.62991371045062, 51.19846596356663]"
sdsAvilaParMVT,trS-teO,"[53.86385426653884, 54.76510067114094, 53.441994247363375, 54.53499520613615, 54.439117929050816, 53.95014381591563, 54.69798657718121, 53.7679769894535, 54.83221476510067, 54.24736337488015]",trS-teS,"[50.91083413231065, 51.82166826462129, 51.246404602109294, 53.02013422818792, 52.30105465004794, 53.54745925215724, 52.588686481303924, 51.82166826462129, 50.81495685522531, 53.403643336529235]"
sdsAvilaSamp,trS-teO,"[41.04506232023011, 40.95877277085331, 41.04506232023011, 41.006711409395976, 40.86289549376797, 41.06423777564717, 40.96836049856184, 40.88207094918504, 40.9300095877277, 40.91083413231064]",trS-teS,"[41.03547459252157, 42.18600191754554, 40.36433365292426, 41.17929050814957, 41.61073825503356, 40.604026845637584, 40.55608820709492, 38.494726749760304, 40.36433365292426, 41.514860977948224]"
